       AMS  BEL  BER  BRN  BRU  BUD  COP  GEN  HAM  LIS  MAD  MUN  NAP  PAR  PRA  ROM  TRI  VIE  WAR
  AMS    0    0    0  558  164    0    0    0  338    0    0  526    0    0    0    0    0    0    0
  BEL    0    0    0    0    0  263    0    0    0    0    0    0    0    0    0    0  403  501    0
  BER    0    0    0  628    0    0    0    0  182    0    0    0    0    0  219    0    0    0  345
  BRN  558    0  628    0  497    0    0  304    0    0 1104  311    0    0    0    0  489    0    0
  BRU  164    0    0  497    0    0    0  740    0    0    0    0    0  225    0    0    0    0    0
  BUD    0  263    0    0    0    0    0    0    0    0    0    0    0    0    0    0  384  155  394
  COP    0    0    0    0    0    0    0    0  180    0    0    0    0    0    0    0    0    0    0
  GEN    0    0    0  304  740    0    0    0    0    0  951    0    0  629    0  328  361    0    0
  HAM  338    0  182    0    0    0  180    0    0    0    0    0    0    0    0    0    0    0    0
  LIS    0    0    0    0    0    0    0    0    0    0  339    0    0    0    0    0    0    0    0
  MAD    0    0    0 1104    0    0    0  951    0  339    0    0    0  805    0    0    0    0    0
  MUN  526    0    0  311    0    0    0    0    0    0    0    0    0    0  174  582    0  280    0
  NAP    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  134    0    0    0
  PAR    0    0    0    0  225    0    0  629    0    0  805    0    0    0    0    0    0    0    0
  PRA    0    0  219    0    0    0    0    0    0    0    0  174    0    0    0    0    0  185  479
  ROM    0    0    0    0    0    0    0  328    0    0    0  582  134    0    0    0  442    0    0
  TRI    0  403    0  489    0  384    0  361    0    0    0    0    0    0    0  442    0  317    0
  VIE    0  501    0    0    0  155    0    0    0    0    0  280    0    0  185    0  317    0  464
  WAR    0    0  345    0    0  394    0    0    0    0    0    0    0    0  479    0    0  464    0
