Afghanistan,Asia,45.9
Albania,Europe,71.6
Algeria,Africa,69.7
American Samoa,Oceania,75.1
Andorra,Europe,83.5
Angola,Africa,38.3
Anguilla,North America,76.1
Antigua and Barbuda,North America,70.5
Argentina,South America,75.1
Armenia,Asia,66.4
Aruba,North America,78.4
Australia,Oceania,79.8
Austria,Europe,77.7
Azerbaijan,Asia,62.9
Bahamas,North America,71.1
Bahrain,Asia,73
Bangladesh,Asia,60.2
Barbados,North America,73
Belarus,Europe,68
Belgium,Europe,77.8
Belize,North America,70.9
Benin,Africa,50.2
Bermuda,North America,76.9
Bhutan,Asia,52.4
Bolivia,South America,63.7
Bosnia and Herzegovina,Europe,71.5
Botswana,Africa,39.3
Brazil,South America,62.9
Brunei,Asia,73.6
Bulgaria,Europe,70.9
Burkina Faso,Africa,46.7
Burundi,Africa,46.2
Cambodia,Asia,56.5
Cameroon,Africa,54.8
Canada,North America,79.4
Cape Verde,Africa,68.9
Cayman Islands,North America,78.9
Central African Republic,Africa,44
Chad,Africa,50.5
Chile,South America,75.7
China,Asia,71.4
Colombia,South America,70.3
Comoros,Africa,60
Congo,Africa,47.4
Congo; The Democratic Republic of the,Africa,48.8
Cook Islands,Oceania,71.1
Costa Rica,North America,75.8
Cote d-Ivoire,Africa,45.2
Croatia,Europe,73.7
Cuba,North America,76.2
Cyprus,Asia,76.7
Czech Republic,Europe,74.5
Denmark,Europe,76.5
Djibouti,Africa,50.8
Dominica,North America,73.4
Dominican Republic,North America,73.2
East Timor,Asia,46
Ecuador,South America,71.1
Egypt,Africa,63.3
El Salvador,North America,69.7
Equatorial Guinea,Africa,53.6
Eritrea,Africa,55.8
Estonia,Europe,69.5
Ethiopia,Africa,45.2
Faroe Islands,Europe,78.4
Fiji Islands,Oceania,67.9
Finland,Europe,77.4
France,Europe,78.8
French Guiana,South America,76.1
French Polynesia,Oceania,74.8
Gabon,Africa,50.1
Gambia,Africa,53.2
Georgia,Asia,64.5
Germany,Europe,77.4
Ghana,Africa,57.4
Gibraltar,Europe,79
Greece,Europe,78.4
Greenland,North America,68.1
Grenada,North America,64.5
Guadeloupe,North America,77
Guam,Oceania,77.8
Guatemala,North America,66.2
Guinea,Africa,45.6
Guinea-Bissau,Africa,49
Guyana,South America,64
Haiti,North America,49.2
Honduras,North America,69.9
Hong Kong,Asia,79.5
Hungary,Europe,71.4
Iceland,Europe,79.4
India,Asia,62.5
Indonesia,Asia,68
Iran,Asia,69.7
Iraq,Asia,66.5
Ireland,Europe,76.8
Israel,Asia,78.6
Italy,Europe,79
Jamaica,North America,75.2
Japan,Asia,80.7
Jordan,Asia,77.4
Kazakstan,Asia,63.2
Kenya,Africa,48
Kiribati,Oceania,59.8
Kuwait,Asia,76.1
Kyrgyzstan,Asia,63.4
Laos,Asia,53.1
